"Data Source","Country/Region Name","Product Name","Element Name","Units","Year","Value"
"CBS","Argentina","COARSE GRAINS","Total Supply","Million tonnes","2015/16","48.12246"
"CBS","Argentina","COARSE GRAINS","Total Supply","Million tonnes","2014/15","43.96007"
"CBS","Argentina","COARSE GRAINS","Total Supply","Million tonnes","2013/14","42.82832"
"CBS","Argentina","COARSE GRAINS","Total Supply","Million tonnes","2012/13","35.21225"
"CBS","Argentina","COARSE GRAINS","Total Supply","Million tonnes","2011/12","35.02051"
"CBS","Argentina","COARSE GRAINS","Total Supply","Million tonnes","2010/11","30.93452"
"CBS","Argentina","COARSE GRAINS","Total Supply","Million tonnes","2009/10","18.30622"
"CBS","Argentina","COARSE GRAINS","Total Supply","Million tonnes","2008/09","30.01822"
"CBS","Argentina","COARSE GRAINS","Total Supply","Million tonnes","2007/08","28.13299"
"CBS","Argentina","COARSE GRAINS","Total Supply","Million tonnes","2006/07","20.183"
"CBS","Argentina","COARSE GRAINS","Total Supply","Million tonnes","2005/06","25.367"
"CBS","Argentina","COARSE GRAINS","Total Supply","Million tonnes","2004/05","19.837"
"CBS","Argentina","COARSE GRAINS","Total Supply","Million tonnes","2003/04","20.2495"
"CBS","Argentina","COARSE GRAINS","Total Supply","Million tonnes","2002/03","19.979"
"CBS","Argentina","COARSE GRAINS","Total Supply","Million tonnes","2001/02","20.825"
"CBS","Argentina","COARSE GRAINS","Total Supply","Million tonnes","2000/01","22.878"
"CBS","Argentina","COARSE GRAINS","Total Utilization","Million tonnes","2018/19","60.396"
"CBS","Argentina","COARSE GRAINS","Total Utilization","Million tonnes","2017/18","62.3887"
"CBS","Argentina","COARSE GRAINS","Total Utilization","Million tonnes","2016/17","52.28828"
"CBS","Argentina","COARSE GRAINS","Total Utilization","Million tonnes","2015/16","48.12246"
"CBS","Argentina","COARSE GRAINS","Total Utilization","Million tonnes","2014/15","43.96007"
"CBS","Argentina","COARSE GRAINS","Total Utilization","Million tonnes","2013/14","42.82832"
"CBS","Argentina","COARSE GRAINS","Total Utilization","Million tonnes","2012/13","35.21225"
"CBS","Argentina","COARSE GRAINS","Total Utilization","Million tonnes","2011/12","35.02051"
"CBS","Argentina","COARSE GRAINS","Total Utilization","Million tonnes","2010/11","30.93452"
"CBS","Argentina","COARSE GRAINS","Total Utilization","Million tonnes","2009/10","18.30622"
"CBS","Argentina","COARSE GRAINS","Total Utilization","Million tonnes","2008/09","30.01822"
"CBS","Argentina","COARSE GRAINS","Total Utilization","Million tonnes","2007/08","28.13299"
"CBS","Argentina","COARSE GRAINS","Total Utilization","Million tonnes","2006/07","20.183"
"CBS","Argentina","COARSE GRAINS","Total Utilization","Million tonnes","2005/06","25.367"
"CBS","Argentina","COARSE GRAINS","Total Utilization","Million tonnes","2004/05","19.837"
"CBS","Argentina","COARSE GRAINS","Total Utilization","Million tonnes","2003/04","20.2495"
"CBS","Argentina","COARSE GRAINS","Total Utilization","Million tonnes","2002/03","19.979"
"CBS","Argentina","COARSE GRAINS","Total Utilization","Million tonnes","2001/02","20.825"
"CBS","Argentina","COARSE GRAINS","Total Utilization","Million tonnes","2000/01","22.878"
"CBS","Argentina","COARSE GRAINS","Utilization","Million tonnes","2018/19","24.27"
"CBS","Argentina","COARSE GRAINS","Utilization","Million tonnes","2017/18","22.46319"
"CBS","Argentina","COARSE GRAINS","Utilization","Million tonnes","2016/17","21.952185"
"CBS","Argentina","COARSE GRAINS","Utilization","Million tonnes","2015/16","19.93243"
"CBS","Argentina","COARSE GRAINS","Utilization","Million tonnes","2014/15","18.64325"
"CBS","Argentina","COARSE GRAINS","Utilization","Million tonnes","2013/14","15.57755"
"CBS","Argentina","COARSE GRAINS","Utilization","Million tonnes","2012/13","9.55275"
"CBS","Argentina","COARSE GRAINS","Utilization","Million tonnes","2011/12","9.29951"
"CBS","Argentina","COARSE GRAINS","Utilization","Million tonnes","2010/11","8.87352"
"CBS","Argentina","COARSE GRAINS","Utilization","Million tonnes","2009/10","5.79522"
"CBS","Argentina","COARSE GRAINS","Utilization","Million tonnes","2008/09","7.52622"
"CBS","Argentina","COARSE GRAINS","Utilization","Million tonnes","2007/08","8.35399"
"CBS","Argentina","COARSE GRAINS","Utilization","Million tonnes","2006/07","8.337"
"CBS","Argentina","COARSE GRAINS","Utilization","Million tonnes","2005/06","8.661"
"CBS","Argentina","COARSE GRAINS","Utilization","Million tonnes","2004/05","7.951"
"CBS","Argentina","COARSE GRAINS","Utilization","Million tonnes","2003/04","7.4555"
"CBS","Argentina","COARSE GRAINS","Utilization","Million tonnes","2002/03","7.8085"
"CBS","Argentina","COARSE GRAINS","Utilization","Million tonnes","2001/02","9.398"
"CBS","Argentina","COARSE GRAINS","Utilization","Million tonnes","2000/01","8.852"
"CBS","Argentina","COARSE GRAINS","Yield","Tonnes/Ha","2018/19","4.545"
"CBS","Argentina","COARSE GRAINS","Yield","Tonnes/Ha","2017/18","5.377"
"CBS","Argentina","COARSE GRAINS","Yield","Tonnes/Ha","2016/17","5.255"
"CBS","Argentina","COARSE GRAINS","Yield","Tonnes/Ha","2015/16","5.173"
"CBS","Argentina","COARSE GRAINS","Yield","Tonnes/Ha","2014/15","4.938"
"CBS","Argentina","COARSE GRAINS","Yield","Tonnes/Ha","2013/14","4.82"
"CBS","Argentina","COARSE GRAINS","Yield","Tonnes/Ha","2012/13","3.936"
"CBS","Argentina","COARSE GRAINS","Yield","Tonnes/Ha","2011/12","4.73"
"CBS","Argentina","COARSE GRAINS","Yield","Tonnes/Ha","2010/11","6.325"
"CBS","Argentina","COARSE GRAINS","Yield","Tonnes/Ha","2009/10","4.727"
"CBS","Argentina","COARSE GRAINS","Yield","Tonnes/Ha","2008/09","5.536"
"CBS","Argentina","COARSE GRAINS","Yield","Tonnes/Ha","2007/08","6.433"
"CBS","Argentina","COARSE GRAINS","Yield","Tonnes/Ha","2006/07","5.258"
"CBS","Argentina","COARSE GRAINS","Yield","Tonnes/Ha","2005/06","6.379"
"CBS","Argentina","COARSE GRAINS","Yield","Tonnes/Ha","2004/05","5.352"
"CBS","Argentina","COARSE GRAINS","Yield","Tonnes/Ha","2003/04","5.468"
"CBS","Argentina","COARSE GRAINS","Yield","Tonnes/Ha","2002/03","5.227"
"CBS","Argentina","COARSE GRAINS","Yield","Tonnes/Ha","2001/02","4.713"
"CBS","Argentina","COARSE GRAINS","Yield","Tonnes/Ha","2000/01","4.742"
"CBS","Argentina","Maize","Exports","Million tonnes","2018/19","27.0"
"CBS","Argentina","Maize","Exports","Million tonnes","2017/18","25.564"
"CBS","Argentina","Maize","Exports","Million tonnes","2016/17","22.6"
"CBS","Argentina","Maize","Exports","Million tonnes","2015/16","18.553"
"CBS","Argentina","Maize","Exports","Million tonnes","2014/15","19.865"
